'id','name','brand_id'
(542,'575',33),
(543,'599GTB',33),
(544,'612',33),
(545,'750',33),
(546,'812 GTS',33),
(547,'812 SUPERFAST',33),
(548,'CALIFORNIA',33),
(549,'DAYTONA',33),
(550,'DINO GT4',33),
(551,'ENZO',33),
(552,'F8 SPIDER',33),
(553,'F8 TRIBUTO',33),
(554,'F12BERLINETTA',33),
(555,'F40',33),
(556,'F50',33),
(557,'F355',33),
(558,'F360',33),
(559,'F430',33),
(560,'F550',33),
(561,'FF',33),
(562,'GTC4LUSSO',33),
(563,'LAFERRARI',33),
(564,'MONDIAL',33),
(565,'PORTOFINO',33),
(566,'PORTOFINO M',33),
(567,'ROMA',33),
(568,'SF90 SPIDER',33),
(569,'SF90 STRADALE',33),
(570,'SUPERAMERICA',33),
(571,'TESTAROSSA',33),
(572,'INNY',33),
(573,'124',34),
(574,'124 SPIDER',34),
(575,'125P',34),
(576,'126',34),
(577,'127',34),
(578,'128',34),
(579,'130',34),
(580,'131',34),
(581,'132',34),
(582,'500',34),
(583,'500L',34),
(584,'500X',34),
(585,'600',34),
(586,'850',34),
(587,'ALBEA',34),
(588,'BARCHETTA',34),
(589,'BRAVA',34),
(590,'BRAVO',34),
(591,'CINQUECENTO',34),
(592,'COUPE',34),
(593,'CROMA',34),
(594,'DINO',34),
(595,'DOBLO',34),
(596,'DUCATO',34),
(597,'FIORINO',34),
(598,'FREEMONT',34),
(599,'FULLBACK',34),
(600,'GRANDE PUNTO',34),
(601,'IDEA',34),
(602,'LINEA',34),
(603,'MAREA',34),
(604,'MULTIPLA',34),
(605,'PALIO',34),
(606,'PANDA',34),
(607,'PUNTO',34),
(608,'PUNTO 2012',34),
(609,'PUNTO EVO',34),
(610,'QUBO',34),
(611,'REGATA',34),
(612,'RITMO',34),
(613,'SCUDO',34),
(614,'SEDICI',34),
(615,'SEICENTO',34),
(616,'SIENA',34),
(617,'SPIDER EUROPA',34),
(618,'STILO',34),
(619,'STRADA',34),
(620,'TALENTO',34),
(621,'TEMPRA',34),
(622,'TIPO',34),
(623,'ULYSSE',34),
(624,'UNO',34),
(625,'X 1',34),
(626,'INNY',34),
(627,'AEROSTAR',35),
(628,'ASPIRE',35),
(629,'B-MAX',35),
(630,'BRONCO',35),
(631,'C-MAX',35),
(632,'CAPRI',35),
(633,'CONTOUR',35),
(634,'COUGAR',35),
(635,'COURIER',35),
(636,'CROWN',35),
(637,'ECONOLINE',35),
(638,'ECONOVAN',35),
(639,'ECOSPORT',35),
(640,'EDGE',35),
(641,'ESCAPE',35),
(642,'ESCORT',35),
(643,'EXCURSION',35),
(644,'EXPEDITION',35),
(645,'EXPLORER',35),
(646,'F150',35),
(647,'F250',35),
(648,'F350',35),
(649,'FAIRLANE',35),
(650,'FALCON',35),
(651,'FESTIVA',35),
(652,'FIESTA',35),
(653,'FIVE HUNDRED',35),
(654,'FLEX',35),
(655,'FOCUS',35),
(656,'FOCUS C-MAX',35),
(657,'FREESTAR',35),
